hero_id_1,hero_id_2,score
6,18,-0.08062260349006711
49,110,-0.08054339114319042
6,44,-0.08026398229328979
19,21,-0.08024985107923704
28,80,-0.08024158130831482
82,114,-0.08023980416872134
35,131,-0.08013248011448887
68,109,-0.08006416494969226
72,106,-0.07982056245638725
7,55,-0.07966710611057992
82,128,-0.07949515273458929
86,120,-0.07933018210170806
73,120,-0.07931642848442849
129,131,-0.07923647041889575
35,91,-0.07918227216877305
5,55,-0.0791536457329623
68,108,-0.0789615373290094
49,108,-0.07894021911424137
12,76,-0.07892410348903706
114,131,-0.07886775783558442
36,69,-0.07873228018925332
87,121,-0.07871762980715657
67,136,-0.07866475406348689
18,99,-0.07856263418499737
17,86,-0.07846117935854618
25,77,-0.07845450814053012
29,59,-0.07835643095338485
15,98,-0.0783167854525249
61,86,-0.07831207839330884
11,22,-0.07829329684208475
46,59,-0.07786194678011632
37,126,-0.07772030931975499
98,109,-0.07759420179018728
46,83,-0.07752770830494665
73,91,-0.07749869189453873
69,123,-0.07733699958270096
34,83,-0.0773036484537869
94,114,-0.07709805690102883
5,138,-0.07699579199782275
19,44,-0.0769867542189484
13,98,-0.07696408518045461
59,83,-0.07693676476599826
69,72,-0.07674598275085665
10,98,-0.07663637901748765
12,38,-0.07648907445049263
25,136,-0.07648388595205358
49,114,-0.07645895144161735
75,100,-0.07640620437786283
48,120,-0.07634856166980436
38,67,-0.0763018839691002
93,129,-0.0762606366531337
83,98,-0.07620964207453773
21,91,-0.07620645483854493
72,119,-0.07605692806294301
99,114,-0.07600981638843252
12,131,-0.07589674823042303
33,128,-0.0755645132346826
25,100,-0.07549438351760035
54,65,-0.07549054238538061
15,33,-0.07527200639974851
46,99,-0.07522946949521803
19,74,-0.07512490087008689
9,53,-0.07506456219387364
38,110,-0.07504018514238198
17,121,-0.07495621699768634
104,129,-0.07479316635253691
32,56,-0.07477193606586541
53,107,-0.07476394233247446
50,114,-0.07473277972272097
21,90,-0.07466646094178148
10,76,-0.07465156072497625
9,97,-0.07462149712472421
27,65,-0.0745662171428142
34,138,-0.07455352787485753
75,90,-0.07448911914610395
70,92,-0.0744095358773954
9,72,-0.07439116632228315
79,128,-0.07434013807495837
44,100,-0.07426689818586268
81,106,-0.07425582952372783
79,136,-0.074112004272888
64,99,-0.07401543716766862
35,120,-0.07396999887776978
70,103,-0.07375675610043331
13,136,-0.07344434821792767
15,108,-0.07333165690428978
44,82,-0.0732906355967749
61,68,-0.07322767604504532
30,103,-0.07318086694996234
119,123,-0.07302114869968512
71,100,-0.072853991210925
8,109,-0.07278051741875469
19,70,-0.07278012696920616
37,45,-0.07274794193012518
91,97,-0.0726303229407948
15,50,-0.07261109706608054
13,23,-0.0726097807846861
44,120,-0.0725557526845062
32,70,-0.07254815279266308
93,99,-0.07254223548527605
10,19,-0.07251279052021142
6,100,-0.07249643686335833
5,113,-0.07248226528211615
38,93,-0.07245279964836754
12,106,-0.07241341251748462
43,93,-0.07239874508306854
38,106,-0.07232226039574308
1,69,-0.07229906888108611
16,34,-0.07225508774882439
72,126,-0.07216172029337636
10,111,-0.07216108060873216
20,62,-0.07213729441045658
64,111,-0.07209337037725438
12,145,-0.07200042922474814
6,93,-0.07184773887541984
86,108,-0.07181265422965732
45,81,-0.07174614598145052
22,38,-0.07174110893669022
102,129,-0.07165098094301636
60,104,-0.0716496735208535
13,137,-0.07164922695158094
19,63,-0.07151258835899482
99,110,-0.0714160497574331
33,96,-0.07138711001678838
18,91,-0.07133774873918358
19,85,-0.07131779936736532
52,100,-0.07128512097814155
15,21,-0.07128070901737321
99,106,-0.0712418775545467
49,106,-0.07119413714917533
106,110,-0.07102822762090438
89,94,-0.07101230301222311
68,77,-0.0709702873508889
25,74,-0.07096158878027153
17,109,-0.07078664058044148
41,111,-0.07075163815195934
37,108,-0.07072418003504827
37,99,-0.0707083315269918
87,109,-0.07066563749809063
56,114,-0.07066369187521782
39,82,-0.07051682657626224
10,58,-0.07036916943629479
48,79,-0.07010477658186093
65,74,-0.07007159329619983
70,138,-0.07002792852979456
11,77,-0.06993644749167055
31,58,-0.06992648493264114
76,109,-0.06989046649542169
14,78,-0.06987215313351341
39,108,-0.06982795989839002
19,35,-0.06966080039814293
27,120,-0.06961009093719428
58,81,-0.06950606807139231
25,69,-0.06944880739917425
39,89,-0.069441208810404
67,119,-0.06940413047292388
17,114,-0.0692993400174089
48,99,-0.06924603482578812
83,94,-0.06916905396029249
99,100,-0.06916131892133093
83,123,-0.06903335183137238
64,105,-0.06901963212799772
26,90,-0.0689271698786269
39,72,-0.06889271280341863
50,71,-0.06879277132639955
25,52,-0.06875066817961273
67,94,-0.06857900107783438
95,110,-0.06844210849654586
108,136,-0.0684300503350665
47,49,-0.0684283897296421
114,123,-0.06839245639250491
2,106,-0.06837039049292526
97,145,-0.06833401861508043
71,73,-0.06832154907719623
23,72,-0.06826655774633938
13,28,-0.06823676477584695
77,84,-0.0681956951350754
28,110,-0.06816031158103808
112,114,-0.06787755704084919
61,110,-0.06786786386349808
16,114,-0.06782051102102005
16,46,-0.06775791507501
10,63,-0.06770904354553642
50,62,-0.0677010920901247
23,81,-0.06758660707537234
60,97,-0.06755437464874986
25,109,-0.06751952571047337
91,94,-0.06741613484645514
30,79,-0.067369829516842
88,136,-0.06729216257531556
25,120,-0.06729097161421271
3,46,-0.06724080858461323
41,97,-0.06723714786477164
21,38,-0.0672150829840873
91,102,-0.06712811827211262
38,47,-0.06710661818222124
41,108,-0.06706667640663888
