team_picks,opponent_picks,picked_hero,win,match_id,start_time,patch_id
"[7, 31, 6, 32, 51]","[67, 36, 13, 58, 19]",6,0,3325974043,1500591188,25
"[18, 104, 74, 75, 48]","[84, 110, 47, 81, 77]",104,0,3326018651,1500594683,25
"[45, 99, 72, 4, 47]","[35, 93, 84, 57, 42]",47,1,3326633610,1500627073,25
"[18, 50, 1, 37, 62]","[8, 106, 42, 22, 26]",62,1,3327304276,1500648415,25
"[68, 32, 55, 48, 4]","[85, 57, 98, 21, 41]",32,1,3327422421,1500651919,25
"[104, 41, 44, 89, 21]","[93, 25, 27, 99, 113]",89,1,3327816676,1500667572,25
"[89, 66, 77, 38, 61]","[47, 30, 51, 12, 18]",89,1,3327869891,1500670236,25
"[33, 26, 22, 65, 14]","[12, 114, 25, 54, 83]",33,0,3329218688,1500726317,25
"[114, 44, 31, 94, 1]","[73, 11, 18, 12, 30]",44,1,3329451599,1500732748,25
"[28, 10, 76, 110, 5]","[53, 45, 114, 57, 44]",28,1,3329549507,1500735419,25
"[75, 70, 91, 76, 37]","[98, 84, 26, 96, 4]",75,0,3329858769,1500744995,25
"[47, 60, 4, 7, 87]","[33, 12, 8, 32, 95]",4,1,3330020474,1500751412,25
"[71, 98, 82, 33, 25]","[12, 95, 110, 52, 2]",98,0,3332421295,1500849373,25
"[35, 42, 11, 78, 107]","[28, 2, 44, 12, 68]",35,0,3333312408,1500895730,25
"[36, 69, 8, 44, 32]","[18, 7, 27, 1, 21]",44,1,3333449703,1500900136,25
"[52, 32, 84, 98, 25]","[69, 11, 114, 48, 71]",52,0,3333565142,1500903511,25
"[56, 25, 47, 1, 26]","[67, 11, 45, 12, 35]",56,0,3333638801,1500905654,25
"[5, 1, 86, 7, 100]","[77, 44, 49, 81, 6]",7,0,3333723254,1500908978,25
"[41, 34, 21, 18, 67]","[20, 71, 54, 1, 114]",41,1,3333815452,1500911717,25
"[49, 35, 57, 51, 1]","[60, 30, 76, 39, 104]",51,1,3333941045,1500916519,25
"[59, 76, 93, 83, 62]","[101, 111, 56, 84, 6]",76,1,3334007412,1500919279,25
"[106, 8, 104, 11, 22]","[47, 90, 75, 49, 52]",22,1,3334302573,1500934520,25
"[53, 48, 11, 114, 104]","[7, 98, 75, 25, 62]",48,0,3334342302,1500937740,25
"[63, 59, 96, 76, 94]","[36, 86, 88, 84, 31]",76,1,3336339568,1501028793,25
"[40, 90, 6, 79, 41]","[67, 32, 21, 47, 9]",79,0,3336365031,1501030689,25
"[96, 63, 91, 46, 8]","[69, 20, 1, 12, 23]",46,0,3337142949,1501068130,25
"[22, 20, 2, 86, 88]","[30, 109, 16, 44, 94]",2,1,3337263614,1501072017,25
"[94, 36, 14, 86, 83]","[11, 16, 77, 71, 21]",36,0,3337316512,1501073598,25
"[73, 76, 95, 35, 28]","[43, 15, 4, 109, 58]",73,1,3337343706,1501074399,25
"[35, 25, 41, 70, 8]","[76, 68, 58, 22, 26]",25,1,3337558225,1501080750,25
"[21, 44, 102, 89, 67]","[93, 104, 63, 83, 37]",67,1,3337609407,1501082363,25
"[6, 35, 114, 53, 41]","[4, 54, 93, 104, 87]",35,0,3337692882,1501085207,25
"[36, 59, 82, 28, 23]","[94, 34, 12, 96, 7]",28,1,3337782676,1501088577,25
"[6, 110, 33, 20, 93]","[59, 83, 47, 1, 9]",93,1,3340177901,1501196199,25
"[32, 8, 84, 36, 35]","[1, 44, 34, 98, 2]",35,1,3340209220,1501198549,25
"[104, 41, 11, 20, 95]","[74, 14, 59, 69, 98]",20,1,3341243841,1501244501,25
"[48, 1, 112, 47, 12]","[67, 104, 13, 7, 75]",48,1,3341337418,1501247186,25
"[19, 44, 53, 20, 4]","[9, 71, 84, 2, 85]",44,0,3341563395,1501253417,25
"[46, 4, 28, 14, 1]","[18, 86, 80, 36, 75]",28,0,3341680174,1501256816,25
"[31, 23, 87, 1, 75]","[93, 56, 47, 71, 62]",31,0,3342094331,1501272473,25
"[63, 30, 58, 19, 62]","[93, 46, 36, 53, 32]",62,0,3342228864,1501279543,25
"[6, 11, 62, 19, 71]","[36, 21, 4, 30, 96]",62,1,3342266351,1501281903,25
"[36, 96, 102, 67, 42]","[16, 22, 54, 71, 39]",96,1,3342394924,1501291086,25
"[63, 77, 40, 17, 106]","[72, 27, 43, 44, 104]",17,0,3342459267,1501295117,25
"[4, 17, 101, 109, 31]","[26, 1, 18, 33, 22]",17,1,3344370949,1501360254,25
"[71, 44, 23, 111, 37]","[14, 47, 102, 26, 4]",44,0,3344428556,1501363119,25
"[30, 51, 34, 29, 81]","[92, 87, 62, 1, 82]",34,0,3344499447,1501367125,25
"[34, 53, 8, 1, 42]","[25, 63, 6, 101, 110]",34,0,3344570822,1501371771,25
"[42, 76, 34, 19, 105]","[2, 63, 104, 101, 5]",34,1,3344604905,1501374130,25
"[45, 3, 56, 32, 11]","[94, 35, 9, 70, 71]",56,1,3344686731,1501379160,25
"[3, 93, 21, 19, 112]","[12, 44, 35, 23, 74]",3,1,3347994312,1501511865,25
"[68, 23, 9, 93, 5]","[104, 14, 73, 7, 6]",5,1,3348824011,1501553670,25
"[28, 42, 85, 14, 18]","[17, 10, 104, 84, 11]",14,1,3348871903,1501556587,25
"[74, 49, 26, 35, 46]","[40, 47, 42, 87, 99]",26,0,3349718786,1501591838,25
"[27, 74, 100, 1, 13]","[61, 114, 90, 8, 69]",13,0,3349795648,1501594048,25
"[1, 39, 93, 28, 106]","[15, 109, 2, 18, 11]",1,0,3349874205,1501596328,25
"[10, 20, 22, 21, 62]","[39, 84, 63, 23, 67]",10,0,3350207693,1501607863,25
"[27, 68, 53, 93, 39]","[85, 31, 109, 35, 2]",53,0,3350266712,1501610603,25
"[73, 28, 46, 13, 56]","[104, 86, 4, 71, 34]",13,1,3350761135,1501642116,25
"[91, 72, 104, 60, 86]","[114, 23, 35, 83, 63]",91,0,3350817279,1501645528,25
"[15, 1, 53, 97, 36]","[16, 14, 45, 8, 74]",15,1,3350904703,1501651033,25
"[21, 48, 4, 114, 16]","[18, 96, 2, 45, 5]",21,0,3351664700,1501680184,25
